1	Vẽ và trình bày cách Spring MVC xử lý request
	"Client Request ->  Front Controller ->  Controller -> Front Controller -> View -> Front Controller -> 
Client Spring Font Controller (DispatcherServlet) nhận yêu cầu nó sẽ tìm đến Handler Mapping thích hợp.
Handler Mapping sẽ ánh xạ yêu cầu của client đến controller thích hợp.
Sau đó DispatcherServlet sẽ gửi yêu cầu đến Controller thích hợp.
Sau khi thực hiện tiến trình từ yêu cầu của client, nó thực thi các logic được xác định trong controller và cuối cùng trả về đối tượng ModelAndView.
Dựa trên các giá trị trong ModelAndView Controller mà nó sẽ view, có thể là JSP, FreeMaker,tiles do file cấu hình của chúng ta config.
Controller sẽ gửi đến cho Servlet container và cuối cùng Servlet container sẽ gửi kết quả cho người dùng      "
2	Trình bày cơ chế Dependency Injection trong Spring
	DI là một Design Pattern cho phép xóa bỏ sự phụ thuộc
3	Có bao nhiêu cách để thực hiện Dependency Injection? Trình bày?
	Triển khai DI có 3 cách: Interface, Constructor, Setter
4	Framework là gì ? Framework khác Library chỗ nào ?
	"Framework là một phần mềm có tính trừu tượng cao, cung cấp các chức năng chung - thông dụng nhất và có khả năng tùy biến
Điểm khác biệt so với Library:
+ Library: lập trình viên sẽ nắm quyền điều khiển (Code của mình sẽ gọi code thư viện)
+ Framework: framework sẽ nắm quyền ứng dụng (Code của Framework sẽ gọi code của mình)
=> Điểm khác biệt chính giữa Framework và Library là cơ chế IoC"
5	Spring Framework là gì ?
	Spring Framework là một framework dùng để phát triển các ứng dụng Java
6	Lợi ích của Spring Framework?
	Nhẹ, giúp các ứng dụng có hiệu năng cao, dễ kiểm thử, tái sử dụng code,...
7	Nguyên lý đảo ngược quyền điều khiển (Inversion of Control) là gì ?
	IoC là nguyên lý phát triển phần mềm. Trong đó, việc điều khiển các đối tượng hoặc thành phần của hệ thống sẽ được thực hiện bởi Framework hoặc các Container
8	Bean là gì?
	"Bean là đối tượng được Framework và Container quản lý
Trong Spring, Bean là một đối tượng được khởi tạo, lắp ráp và quản lý bởi Spring IoC Container"
9	Trong Spring có bao nhiêu Bean Scope?
	"  Trong Spring có 5 Bean Scope: singleton, prototype, request, 
session, global session"
10	@Autowire là gì?
	@Autowire đánh dấu cho Spring biết rằng sẽ tự động inject bean tương ứng vào vị trí được đánh dấu
11	@Component có ý nghĩa gì?
	@Component dùng để đánh dấu một class Java là một Bean
12	Trình bày ý nghĩa của Controller
	Controller là file class, xử lý nghiệp vụ, logic
13	Trình bày ý nghĩa của ModelAndView Interface
